"Package","Field"
"a4","Microarray"
"a4Base","Microarray"
"a4Classif","Microarray"
"a4Core","Microarray"
"a4Preproc","Microarray"
"a4Reporting","Microarray"
"ABarray","Microarray"
"abseqR","Other"
"ABSSeq","Other"
"acde","Microarray"
"ACE","Genomics"
"aCGH","Genomics"
"ACME","Microarray"
"ADaCGH2","Microarray"
"ADAM","Microarray"
"ADAMgui","Genomics"
"ADAPT","Microbiome"
"adductomicsR","Metabolomics"
"ADImpute","Single-cell"
"adSplit","Microarray"
"adverSCarial","Single-cell"
"AffiXcan","Genomics"
"affxparser","Microarray"
"affy","Microarray"
"affycomp","Microarray"
"affyContam","Other"
"affycoretools","Microarray"
"affyILM","Microarray"
"affyio","Microarray"
"affylmGUI","Microarray"
"affyPLM","Microarray"
"AffyRNADegradation","Microarray"
"AGDEX","Microarray"
"aggregateBioVar","Single-cell"
"agilp","Other"
"AgiMicroRna","Microarray"
"AHMassBank","Metabolomics"
"AIMS","Microarray"
"airpart","Single-cell"
"alabaster","Other"
"alabaster.base","Other"
"alabaster.bumpy","Other"
"alabaster.files","Other"
"alabaster.mae","Other"
"alabaster.matrix","Other"
"alabaster.ranges","Other"
"alabaster.sce","Other"
"alabaster.schemas","Other"
"alabaster.se","Other"
"alabaster.sfe","Other"
"alabaster.spatial","Other"
"alabaster.string","Other"
"alabaster.vcf","Other"
"ALDEx2","Microbiome"
"alevinQC","Single-cell"
"AllelicImbalance","Genomics"
"AlphaBeta","Genomics"
"AlphaMissenseR","Immunology"
"AlpsNMR","Metabolomics"
"altcdfenvs","Microarray"
"AMARETTO","Microarray"
"AMOUNTAIN","Microarray"
"amplican","Immunology"
"anansi","Microbiome"
"Anaquin","Immunology"
"ANCOMBC","Microbiome"
"ANF","Other"
"anglemania","Single-cell"
"animalcules","Microbiome"
"annaffy","Microarray"
"anndataR","Single-cell"
"annmap","Microarray"
"annotate","Other"
"AnnotationDbi","Microarray"
"AnnotationFilter","Other"
"AnnotationForge","Other"
"AnnotationHub","Other"
"AnnotationHubData","Other"
"annotationTools","Microarray"
"annotatr","Genomics"
"anota","Microarray"
"anota2seq","Microarray"
"antiProfiles","Genomics"
"AnVIL","Other"
"AnVILAz","Other"
"AnVILBase","Other"
"AnVILBilling","Other"
"AnVILGCP","Other"
"AnVILPublish","Other"
"AnVILWorkflow","Other"
"apComplex","Immunology"
"apeglm","Immunology"
"APL","Single-cell"
"appreci8R","Genomics"
"aroma.light","Microarray"
"ArrayExpress","Microarray"
"arrayMvout","Microarray"
"arrayQuality","Microarray"
"arrayQualityMetrics","Microarray"
"ARRmNormalization","Microarray"
"artMS","Immunology"
"ASAFE","Genomics"
"ASEB","Proteomics"
"ASGSCA","Other"
"ASICS","Metabolomics"
"ASpli","Immunology"
"AssessORF","Proteomics"
"ASSET","Genomics"
"ASSIGN","Genomics"
"assorthead","Single-cell"
"ASURAT","Single-cell"
"ATACseqQC","Immunology"
"ATACseqTFEA","Genomics"
"atena","Transcriptomics"
"atSNP","Microarray"
"attract","Microarray"
"AUCell","Single-cell"
"autonomics","Microarray"
"AWAggregator","Metabolomics"
"AWFisher","Other"
"awst","Single-cell"
"BaalChIP","Microarray"
"bacon","Microarray"
"BADER","Immunology"
"BadRegionFinder","Genomics"
"BAGS","Other"
"ballgown","Immunology"
"bambu","Immunology"
"bamsignals","Other"
"BANDITS","Transcriptomics"
"bandle","Immunology"
"Banksy","Single-cell"
"banocc","Microbiome"
"barbieQ","Other"
"basecallQC","Other"
"BaseSpaceR","Genomics"
"Basic4Cseq","Immunology"
"BASiCS","Single-cell"
"BASiCStan","Single-cell"
"BasicSTARRseq","Genomics"
"basilisk","Other"
"basilisk.utils","Other"
"batchCorr","Metabolomics"
"batchelor","Single-cell"
"BatchQC","Microarray"
"BatchSVG","Transcriptomics"
"BayesKnockdown","Genomics"
"BayesSpace","Single-cell"
"bayNorm","Single-cell"
"baySeq","Other"
"BBCAnalyzer","Genomics"
"BCRANK","Genomics"
"bcSeq","Immunology"
"beachmat","Other"
"beachmat.hdf5","Other"
"beachmat.tiledb","Other"
"beadarray","Microarray"
"BeadDataPackR","Microarray"
"BEAT","Immunology"
"BEclear","Genomics"
"bedbaser","Other"
"beer","Other"
"BERT","Other"
"betaHMM","Microarray"
"bettr","Other"
"BG2","Genomics"
"BgeeCall","Transcriptomics"
"BgeeDB","Microarray"
"BicARE","Microarray"
"BiFET","Immunology"
"bigmelon","Microarray"
"BindingSiteFinder","Genomics"
"bioassayR","Immunology"
"Biobase","Other"
"biobroom","Proteomics"
"biobtreeR","Other"
"Bioc.gff","Other"
"bioCancer","Genomics"
"BioCartaImage","Other"
"BiocBaseUtils","Other"
"BiocBook","Other"
"BiocCheck","Other"
"BiocFHIR","Other"
"BiocFileCache","Other"
"BiocGenerics","Other"
"biocGraph","Other"
"BiocHail","Other"
"BiocHubsShiny","Other"
"BiocIO","Other"
"biocmake","Other"
"BiocNeighbors","Other"
"BioCor","Genomics"
"BiocParallel","Other"
"BiocPkgTools","Other"
"biocroxytest","Other"
"BiocSet","Genomics"
"BiocSingular","Other"
"BiocSklearn","Other"
"BiocStyle","Other"
"biocthis","Other"
"BiocVersion","Other"
"biocViews","Other"
"BiocWorkflowTools","Other"
"biodb","Other"
"biodbChebi","Other"
"bioDist","Other"
"BioGA","Other"
"biomaRt","Other"
"biomformat","Microbiome"
"BioMVCClass","Other"
"biomvRCNS","Microarray"
"BioNAR","Other"
"BioNERO","Genomics"
"BioNet","Microarray"
"BioQC","Genomics"
"biosigner","Transcriptomics"
"Biostrings","Genomics"
"BioTIP","Transcriptomics"
"biotmle","Microarray"
"biovizBase","Other"
"BiRewire","Other"
"biscuiteer","Genomics"
"BiSeq","Genomics"
"blacksheepr","Transcriptomics"
"blase","Single-cell"
"blima","Microarray"
"BLMA","Microarray"
"BloodGen3Module","Genomics"
"bluster","Single-cell"
"bnbc","Other"
"bnem","Genomics"
"BOBaFIT","Other"
"borealis","Genomics"
"BRAIN","Immunology"
"branchpointer","Genomics"
"breakpointR","Single-cell"
"BreastSubtypeR","Transcriptomics"
"brendaDb","Other"
"BREW3R.r","Genomics"
"BridgeDbR","Metabolomics"
"broadSeq","Transcriptomics"
"BrowserViz","Other"
"BSgenome","Genomics"
"BSgenomeForge","Genomics"
"bsseq","Genomics"
"BufferedMatrix","Other"
"BufferedMatrixMethods","Other"
"bugsigdbr","Microbiome"
"BulkSignalR","Transcriptomics"
"BUMHMM","Immunology"
"bumphunter","Immunology"
"BumpyMatrix","Other"
"BUS","Other"
"BUScorrect","Genomics"
"BUSpaRse","Single-cell"
"BUSseq","Single-cell"
"CaDrA","Microarray"
"CAEN","Single-cell"
"CAFE","Microarray"
"CAGEfightR","Transcriptomics"
"cageminer","Genomics"
"CAGEr","Genomics"
"CalibraCurve","Metabolomics"
"calm","Microarray"
"CAMERA","Immunology"
"CaMutQC","Genomics"
"canceR","Genomics"
"cancerclass","Microarray"
"cardelino","Single-cell"
"Cardinal","Immunology"
"CardinalIO","Metabolomics"
"CARDspa","Single-cell"
"CARNIVAL","Transcriptomics"
"casper","Immunology"
"CATALYST","Single-cell"
"Category","Genomics"
"categoryCompare","Genomics"
"CatsCradle","Single-cell"
"CausalR","Microarray"
"cbaf","Microarray"
"cBioPortalData","Other"
"CBN2Path","Other"
"CBNplot","Genomics"
"cbpManager","Immunology"
"CCAFE","Genomics"
"ccfindR","Single-cell"
"ccImpute","Single-cell"
"CCPlotR","Single-cell"
"CCPROMISE","Microarray"
"ccrepe","Microbiome"
"CDI","Single-cell"
"celaref","Single-cell"
"celda","Single-cell"
"CellBarcode","Other"
"cellbaseR","Other"
"CellBench","Single-cell"
"CelliD","Single-cell"
"cellity","Immunology"
"CellMapper","Microarray"
"cellmig","Single-cell"
"cellmigRation","Other"
"CellMixS","Single-cell"
"CellNOptR","Immunology"
"cellscape","Other"
"CellTrails","Single-cell"
"cellxgenedp","Single-cell"
"CEMiTool","Microarray"
"censcyt","Single-cell"
"Cepo","Single-cell"
"ceRNAnetsim","Transcriptomics"
"CeTF","Single-cell"
"CexoR","Microarray"
"CFAssay","Immunology"
"cfdnakit","Genomics"
"cfDNAPro","Genomics"
"cfTools","Genomics"
"CGEN","Other"
"CGHbase","Microarray"
"CGHcall","Microarray"
"cghMCR","Microarray"
"CGHnormaliter","Microarray"
"CGHregions","Microarray"
"ChAMP","Microarray"
"ChemmineOB","Metabolomics"
"ChemmineR","Metabolomics"
"CHETAH","Single-cell"
"chevreulPlot","Single-cell"
"chevreulProcess","Single-cell"
"chevreulShiny","Single-cell"
"Chicago","Genomics"
"chihaya","Other"
"chimeraviz","Other"
"ChIPanalyser","Microarray"
"ChIPComp","Microarray"
"chipenrich","Microarray"
"ChIPexoQual","Microarray"
"ChIPpeakAnno","Microarray"
"ChIPseeker","Microarray"
"chipseq","Microarray"
"ChIPseqR","Microarray"
"ChIPsim","Microarray"
"ChIPXpress","Microarray"
"chopsticks","Microarray"
"Chromatograms","Metabolomics"
"chromDraw","Other"
"ChromHeatMap","Other"
"chromPlot","Genomics"
"ChromSCape","Single-cell"
"chromVAR","Single-cell"
"CHRONOS","Other"
"cicero","Single-cell"
"cigarillo","Other"
"CIMICE","Single-cell"
"circRNAprofiler","Genomics"
"CircSeqAlignTk","Transcriptomics"
"CiteFuse","Single-cell"
"ClassifyR","Other"
"cleanUpdTSeq","Transcriptomics"
"CleanUpRNAseq","Genomics"
"cleaver","Proteomics"
"clevRvis","Other"
"clippda","Microarray"
"clipper","Other"
"cliProfiler","Microarray"
"cliqueMS","Metabolomics"
"Clomial","Immunology"
"clst","Other"
"clstutils","Other"
"CluMSID","Metabolomics"
"ClustAll","Other"
"clustComp","Genomics"
"clusterExperiment","Single-cell"
"ClusterFoldSimilarity","Single-cell"
"ClusterJudge","Genomics"
"clusterProfiler","Genomics"
"clusterSeq","Genomics"
"ClusterSignificance","Other"
"clusterStab","Other"
"clustifyr","Single-cell"
"ClustIRR","Single-cell"
"clustSIGNAL","Single-cell"
"CMA","Other"
"cmapR","Genomics"
"cn.farms","Microarray"
"cn.mops","Genomics"
"CNAnorm","Genomics"
"CNEr","Genomics"
"CNORdt","Immunology"
"CNORfeeder","Proteomics"
"CNORfuzzy","Other"
"CNORode","Immunology"
"CNTools","Microarray"
"CNVfilteR","Genomics"
"cnvGSA","Other"
"CNViz","Genomics"
"CNVMetrics","Other"
"CNVPanelizer","Other"
"CNVRanger","Microarray"
"CNVrd2","Other"
"CoCiteStats","Other"
"COCOA","Microarray"
"codelink","Microarray"
"CODEX","Immunology"
"CoGAPS","Microarray"
"cogena","Microarray"
"cogeqc","Genomics"
"Cogito","Genomics"
"coGPS","Microarray"
"cola","Genomics"
"combi","Microbiome"
"coMethDMR","Microarray"
"COMPASS","Cytometrics"
"compcodeR","Immunology"
"compEpiTools","Genomics"
"ComplexHeatmap","Other"
"CompoundDb","Metabolomics"
"ComPrAn","Metabolomics"
"compSPOT","Single-cell"
"concordexR","Single-cell"
"condiments","Single-cell"
"CONFESS","Immunology"
"consensus","Microarray"
"ConsensusClusterPlus","Other"
"consensusDE","Transcriptomics"
"consensusOV","Microarray"
"consensusSeekeR","Microarray"
"consICA","Transcriptomics"
"CONSTANd","Transcriptomics"
"conumee","Microarray"
"convert","Microarray"
"copa","Microarray"
"CopyNumberPlots","Microarray"
"Coralysis","Single-cell"
"coRdon","Microbiome"
"CoreGx","Genomics"
"Cormotif","Microarray"
"corral","Single-cell"
"coseq","Immunology"
"CoSIA","Genomics"
"cosmiq","Immunology"
"cosmosR","Transcriptomics"
"COSNet","Other"
"COTAN","Single-cell"
"countsimQC","Microbiome"
"covEB","Microarray"
"CoverageView","Microarray"
"covRNA","Genomics"
"CPSM","Genomics"
"cpvSNP","Genomics"
"cqn","Immunology"
"CRImage","Other"
"CRISPRball","Other"
"crisprBase","Genomics"
"crisprBowtie","Genomics"
"crisprBwa","Genomics"
"crisprDesign","Genomics"
"crisprScore","Genomics"
"CRISPRseek","Immunology"
"crisprShiny","Genomics"
"CrispRVariants","Immunology"
"crisprVerse","Genomics"
"crisprViz","Genomics"
"crlmm","Microarray"
"crumblr","Single-cell"
"crupR","Genomics"
"CSAR","Microarray"
"csaw","Microarray"
"csdR","Genomics"
"CSOA","Single-cell"
"CSSQ","Microarray"
"ctc","Microarray"
"CTdata","Transcriptomics"
"CTDquerier","Genomics"
"CTexploreR","Transcriptomics"
"cTRAP","Immunology"
"ctsGE","Immunology"
"CTSV","Genomics"
"CuratedAtlasQueryR","Transcriptomics"
"customCMPdb","Other"
"customProDB","Immunology"
"cyanoFilter","Microarray"
"cycle","Microarray"
"cydar","Single-cell"
"cypress","Transcriptomics"
"CytoDx","Cytometrics"
"CyTOFpower","Single-cell"
"cytofQC","Single-cell"
"CytoGLMM","Single-cell"
"cytoKernel","Single-cell"
"cytolib","Cytometrics"
"cytomapper","Single-cell"
"CytoMDS","Cytometrics"
"cytoMEM","Single-cell"
"CytoML","Cytometrics"
"CytoPipeline","Cytometrics"
"CytoPipelineGUI","Cytometrics"
"cytoviewer","Single-cell"
"dada2","Microbiome"
"dagLogo","Other"
"daMA","Microarray"
"DAMEfinder","Genomics"
"DaMiRseq","Immunology"
"Damsel","Genomics"
"dandelionR","Single-cell"
"DAPAR","Metabolomics"
"dar","Microbiome"
"DART","Genomics"
"dcanr","Other"
"DCATS","Single-cell"
"dcGSA","Microarray"
"ddCt","Genomics"
"ddPCRclust","Other"
"dearseq","Immunology"
"debrowser","Microarray"
"DECIPHER","Microbiome"
"decompTumor2Sig","Genomics"
"decontam","Microbiome"
"decontX","Single-cell"
"DeconvoBuddies","Single-cell"
"deconvR","Single-cell"
"decoupleR","Genomics"
"DeeDeeExperiment","Transcriptomics"
"DeepPINCS","Other"
"deepSNV","Genomics"
"DeepTarget","Immunology"
"DEFormats","Immunology"
"DegCre","Microarray"
"DegNorm","Immunology"
"DEGraph","Microarray"
"DEGreport","Immunology"
"DEGseq","Immunology"
"DelayedArray","Genomics"
"DelayedDataFrame","Other"
"DelayedMatrixStats","Other"
"DelayedRandomArray","Other"
"DelayedTensor","Other"
"DELocal","Transcriptomics"
"deltaCaptureC","Other"
"deltaGseg","Proteomics"
"DeMAND","Genomics"
"DeMixT","Microarray"
"demuxmix","Single-cell"
"demuxSNP","Single-cell"
"densvis","Single-cell"
"DEP","Immunology"
"DepecheR","Single-cell"
"DepInfeR","Genomics"
"DEqMS","Immunology"
"derfinder","Microarray"
"derfinderHelper","Immunology"
"derfinderPlot","Immunology"
"DEScan2","Immunology"
"DESeq2","Microarray"
"DEsingle","Single-cell"
"DESpace","Single-cell"
"destiny","Other"
"DEsubs","Immunology"
"DEWSeq","Genomics"
"DExMA","Genomics"
"DEXSeq","Immunology"
"DFP","Microarray"
"DFplyr","Other"
"DiffBind","Microarray"
"diffcoexp","Microarray"
"diffcyt","Single-cell"
"DifferentialRegulation","Single-cell"
"diffGeneAnalysis","Microarray"
"diffHic","Other"
"DiffLogo","Other"
"diffuStats","Transcriptomics"
"diffUTR","Genomics"
"diggit","Genomics"
"Dino","Single-cell"
"dinoR","Genomics"
"dir.expiry","Other"
"DirichletMultinomial","Microbiome"
"discordant","Microarray"
"DiscoRhythm","Other"
"distinct","Single-cell"
"dittoSeq","Single-cell"
"divergence","Other"
"dks","Other"
"DMCFB","Other"
"DMCHMM","Other"
"dmGsea","Proteomics"
"DMRcaller","Genomics"
"DMRcate","Microarray"
"DMRScan","Genomics"
"dmrseq","Immunology"
"DNABarcodeCompatibility","Other"
"DNABarcodes","Other"
"DNAcopy","Microarray"
"DNAcycP2","Other"
"DNAfusion","Genomics"
"DNAshapeR","Genomics"
"DNEA","Metabolomics"
"DominoEffect","Proteomics"
"dominoSignal","Single-cell"
"doppelgangR","Microarray"
"Doscheda","Metabolomics"
"DOSE","Genomics"
"doseR","Genomics"
"DOtools","Single-cell"
"doubletrouble","Genomics"
"drawProteins","Proteomics"
"dreamlet","Single-cell"
"DRIMSeq","Immunology"
"DriverNet","Other"
"DropletUtils","Single-cell"
"drugTargetInteractions","Metabolomics"
"DrugVsDisease","Microarray"
"DspikeIn","Microbiome"
"DSS","Transcriptomics"
"dStruct","Other"
"DTA","Microarray"
"Dune","Single-cell"
"DuplexDiscovereR","Transcriptomics"
"dupRadar","Immunology"
"dyebias","Microarray"
"DynDoc","Other"
"easier","Immunology"
"EasyCellType","Single-cell"
"easylift","Genomics"
"easyreporting","Other"
"easyRNASeq","Immunology"
"EBarrays","Other"
"EBcoexpress","Other"
"EBImage","Other"
"EBSEA","Genomics"
"EBSeq","Immunology"
"ecolitk","Other"
"EDASeq","Immunology"
"edge","Genomics"
"edgeR","Single-cell"
"EDIRquery","Genomics"
"eds","Single-cell"
"EGAD","Genomics"
"EGSEA","Microarray"
"eiR","Metabolomics"
"eisaR","Transcriptomics"
"ELMER","Genomics"
"ELViS","Genomics"
"EMDomics","Microarray"
"EmpiricalBrownsMethod","Genomics"
"EnhancedVolcano","Immunology"
"enhancerHomologSearch","Genomics"
"EnMCB","Microarray"
"ENmix","Microarray"
"EnrichDO","Genomics"
"EnrichedHeatmap","Genomics"
"EnrichmentBrowser","Microarray"
"enrichplot","Genomics"
"enrichViewNet","Other"
"ensembldb","Genomics"
"epialleleR","Genomics"
"EpiCompare","Microarray"
"epidecodeR","Microarray"
"EpiDISH","Microarray"
"epigenomix","Microarray"
"epigraHMM","Microarray"
"EpiMix","Genomics"
"epimutacions","Genomics"
"epiNEM","Other"
"EpipwR","Genomics"
"epiregulon","Single-cell"
"epiregulon.extra","Microarray"
"epistack","Microarray"
"epistasisGA","Genomics"
"EpiTxDb","Transcriptomics"
"epivizr","Other"
"epivizrChart","Other"
"epivizrData","Other"
"epivizrServer","Other"
"epivizrStandalone","Other"
"erccdashboard","Microarray"
